Name	Default	Flags	Dimensions	Type	Comment
GLOBAL_Conventions	SOFA	rm	  	attribute
GLOBAL_Version	1.0	rm	 	attribute
GLOBAL_SOFAConventions	AmbisonicsDRIR	rm	  	attribute	This conventions stores Ambisonics DRIRs derived from RIRs recorded along the spherical surface of an Ambisonics microphone.
GLOBAL_SOFAConventionsVersion	1.0	rm	  	attribute
GLOBAL_AmbisonicsConversionMethod				attribute	Information about the Ambisonics transform prodecure
GLOBAL_AmbisonicsMicrophoneModel				attribute	Information about microphone used for the recordings
GLOBAL_AmbisonicsOrder	1	m		attribute	Degree of the Spherical Harmonic Expansion
GLOBAL_APIName		rm	  	attribute
GLOBAL_APIVersion		rm	  	attribute
GLOBAL_ApplicationName			  	attribute
GLOBAL_ApplicationVersion			  	attribute
GLOBAL_AuthorContact		m	  	attribute
GLOBAL_Comment		m	 	attribute
GLOBAL_DataType	FIRE	rm	  	attribute	We use FIR datatype which in addition depends on Emitters (E)
GLOBAL_History			 	attribute
GLOBAL_License	No license provided, ask the author for permission	m	  	attribute
GLOBAL_Organization		m	  	attribute
GLOBAL_References				attribute
GLOBAL_RoomType	reverberant	m	  	attribute	The room information can be arbitrary
GLOBAL_RoomDescription		m		attribute
GLOBAL_Origin				attribute
GLOBAL_DateCreated		m	 	attribute
GLOBAL_DateModified		m	 	attribute
GLOBAL_Title		m		attribute
ListenerPosition	[0 0 0] 	m	IC, MC	double	ListenerPosition describes the real position of the microphone in the room (useful if positioned off the center of the loudspeakers arrangement for example). M represents the number of positions of the Ambisonics microphone
ListenerPosition:Type	cartesian	m	  	attribute
ListenerPosition:Units	meter	m	  	attribute
ListenerUp	[0 0 1]	m	IC, MC	double
ListenerUp:Type	cartesian	m		attribute
ListenerUp:Units	meter	m		attribute
ListenerView	[0 0 1]	m	IC, MC	double
ListenerView:Type	spherical	m		attribute
ListenerView:Units	degree, degree, meter	m		attribute
EmitterView	[1 0 0]	m	ECI, ECM	double
EmitterView:Type	cartesian	m		attribute
EmitterView:Units	meter	m		attribute
ReceiverPosition	[0 0 0;0 0 0;0 0 0;0 0 0]	m	RCI	double	Not applicable  (receivers are spherical harmonics)
ReceiverPosition:Type	cartesian	m	  	attribute	Not applicable  (receivers are spherical harmonics)
ReceiverPosition:Units	meter	m		attribute	Not applicable  (receivers are spherical harmonics)
SourcePosition	[0 0 0] 	m	IC	double	By definition, there is only one source (loudspeaker array) with several loudspeakers (emitters)
SourcePosition:Type	cartesian	m	  	attribute
SourcePosition:Units	meter	m	  	attribute
SourceUp	[0 0 1]	m	IC	double
SourceUp:Type	cartesian	m		attribute
SourceUp:Units	meter	m		attribute
SourceView	[1 0 0]	m	IC	double
SourceView:Type	cartesian	m		attribute
SourceView:Units	meter	m		attribute
EmitterPosition	[0 0 1]	m	eCI, eCM	double	Each speaker position is represented as an emitter. Use EmitterPosition to represent the position of a particular speaker, wrt to SourcePosition which may contain the physical coordinates of the loudspeakers arrangement in the room. Size of EmitterPosition determines E.  M dimension not needed since there is always one only source (in this convention, M is not related to emitters but to receivers instead)
EmitterPosition:Type	spherical	m	  	attribute
EmitterPosition:Units	degree, degree, meter	m	  	attribute
EmitterUp	[0 0 1]	m	ECI, ECM	double
EmitterUp:Type	cartesian	m		attribute
EmitterUp:Units	meter	m		attribute
EmitterView	[1 0 0]	m	ECI, ECM	double
EmitterView:Type	cartesian	m		attribute
EmitterView:Units	meter	m		attribute
Data.IR	0	m	mrEn	double	Impulse responses
Data.IR:ChannelOrdering	acn	m		attribute	Describes the ordering relationship between Spherical Harmonics. Must be one of: 'acn', 'sid' or 'fuma'
Data.IR:Normalization	sn3d	m		attribute	Describes the amplitude relationship between Spherical Harmonics. Must be one of: 'sn3d' , 'n3d', 'fuma' or 'maxn'
Data.SamplingRate	48000	m	I	double	Sampling rate of the samples in Data.IR and Data.Delay
Data.SamplingRate:Units	hertz	m		attribute	Unit of the sampling rate
Data.Delay	0	m	IRE, MRE	double	Additional delay of each Ambisonics IR (in samples)